Date,Hour,Route ID,Direction,Stop ID,Stop Sequence,Boardings,Alightings,Trips,Stop Name,Period
2025-01-07,2025-01-07 15:00:00,M66,E,404994,8,7,18,5,MADISON AV/E 65 ST,Evening
2025-01-07,2025-01-07 15:00:00,M66,E,403495,9,6,13,4,MADISON AV/E 67 ST,Evening
2025-01-07,2025-01-07 15:00:00,M66,E,403497,10,22,47,5,E 68 ST/LEXINGTON AV,Evening
2025-01-07,2025-01-07 16:00:00,M66,E,403492,6,29,3,6,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-07,2025-01-07 16:00:00,M66,E,403494,7,3,7,5,E 65 ST/5 AV,Evening
2025-01-07,2025-01-07 16:00:00,M66,E,404994,8,4,19,8,MADISON AV/E 65 ST,Evening
2025-01-07,2025-01-07 16:00:00,M66,E,403495,9,4,23,7,MADISON AV/E 67 ST,Evening
2025-01-07,2025-01-07 16:00:00,M66,E,403497,10,19,84,9,E 68 ST/LEXINGTON AV,Evening
2025-01-07,2025-01-07 19:00:00,M66,E,403492,6,12,0,4,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-07,2025-01-07 19:00:00,M66,E,403494,7,0,1,1,E 65 ST/5 AV,Evening
2025-01-07,2025-01-07 19:00:00,M66,E,404994,8,0,4,2,MADISON AV/E 65 ST,Evening
2025-01-07,2025-01-07 19:00:00,M66,E,403495,9,0,3,3,MADISON AV/E 67 ST,Evening
2025-01-07,2025-01-07 19:00:00,M66,E,403497,10,5,10,3,E 68 ST/LEXINGTON AV,Evening
2025-01-07,2025-01-07 18:00:00,M66,E,403492,6,23,1,4,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-07,2025-01-07 18:00:00,M66,E,403494,7,1,6,2,E 65 ST/5 AV,Evening
2025-01-07,2025-01-07 18:00:00,M66,E,404994,8,0,4,3,MADISON AV/E 65 ST,Evening
2025-01-07,2025-01-07 18:00:00,M66,E,403495,9,3,6,4,MADISON AV/E 67 ST,Evening
2025-01-07,2025-01-07 18:00:00,M66,E,403497,10,19,38,4,E 68 ST/LEXINGTON AV,Evening
2025-01-07,2025-01-07 17:00:00,M66,E,403492,6,36,3,6,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-07,2025-01-07 17:00:00,M66,E,403494,7,0,7,3,E 65 ST/5 AV,Evening
2025-01-07,2025-01-07 17:00:00,M66,E,404994,8,5,10,5,MADISON AV/E 65 ST,Evening
2025-01-07,2025-01-07 17:00:00,M66,E,403495,9,3,9,3,MADISON AV/E 67 ST,Evening
2025-01-07,2025-01-07 17:00:00,M66,E,403497,10,15,36,6,E 68 ST/LEXINGTON AV,Evening
2025-01-08,2025-01-08 09:00:00,M66,E,403492,6,9,0,3,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-08,2025-01-08 09:00:00,M66,E,403494,7,8,27,5,E 65 ST/5 AV,Morning
2025-01-08,2025-01-08 09:00:00,M66,E,404994,8,5,13,4,MADISON AV/E 65 ST,Morning
2025-01-08,2025-01-08 09:00:00,M66,E,403495,9,5,11,3,MADISON AV/E 67 ST,Morning
2025-01-08,2025-01-08 09:00:00,M66,E,403497,10,54,20,5,E 68 ST/LEXINGTON AV,Morning
2025-01-08,2025-01-08 16:00:00,M66,E,404994,8,4,16,8,MADISON AV/E 65 ST,Evening
2025-01-08,2025-01-08 16:00:00,M66,E,403495,9,4,12,5,MADISON AV/E 67 ST,Evening
2025-01-08,2025-01-08 16:00:00,M66,E,403497,10,21,41,9,E 68 ST/LEXINGTON AV,Evening
2025-01-08,2025-01-08 08:00:00,M66,E,403492,6,29,4,6,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-08,2025-01-08 08:00:00,M66,E,403494,7,8,40,8,E 65 ST/5 AV,Morning
2025-01-08,2025-01-08 08:00:00,M66,E,404994,8,3,19,7,MADISON AV/E 65 ST,Morning
2025-01-08,2025-01-08 08:00:00,M66,E,403495,9,11,17,7,MADISON AV/E 67 ST,Morning
2025-01-08,2025-01-08 10:00:00,M66,E,403492,6,7,0,1,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-08,2025-01-08 10:00:00,M66,E,403494,7,0,3,1,E 65 ST/5 AV,Morning
2025-01-08,2025-01-08 10:00:00,M66,E,404994,8,0,6,2,MADISON AV/E 65 ST,Morning
2025-01-08,2025-01-08 10:00:00,M66,E,403495,9,1,2,2,MADISON AV/E 67 ST,Morning
2025-01-08,2025-01-08 10:00:00,M66,E,403497,10,23,4,2,E 68 ST/LEXINGTON AV,Morning
2025-01-08,2025-01-08 16:00:00,M66,E,403492,6,20,0,7,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-08,2025-01-08 16:00:00,M66,E,403494,7,4,5,4,E 65 ST/5 AV,Evening
